N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"70,000",200,-0.28%,100,"4,178,848","5,969,783",51.84,"1,089,509",12.12,13.92,
2,LG에너지솔루션,"366,000","2,500",+0.69%,500,"856,440","234,000",2.97,"287,980",92.35,10.68,
3,SK하이닉스,"114,000","2,000",-1.72%,"5,000","829,923","728,002",50.40,"456,607",10.31,9.53,
4,NAVER,"332,000","3,000",+0.91%,100,"544,643","164,049",54.68,"113,030",3.31,106.72,
5,삼성바이오로직스,"798,000","1,000",-0.13%,"2,500","527,997","66,165",10.52,"5,558",135.76,8.21,
6,삼성전자우,"62,900",200,-0.32%,100,"517,596","822,887",74.08,"114,291",10.89,N/A,
7,카카오,"103,000",500,-0.48%,100,"459,507","446,123",28.47,"455,720",40.55,2.70,
8,현대차,"165,500","1,000",+0.61%,"5,000","353,621","213,668",26.33,"143,033",9.27,6.84,
9,삼성SDI,"484,000","7,000",-1.43%,"5,000","332,820","68,765",43.47,"66,510",29.12,8.45,
10,LG화학,"448,000","9,000",-1.97%,"5,000","316,254","70,592",48.56,"170,687",9.56,18.47,
11,기아,"69,400",600,+0.87%,"5,000","281,322","405,363",34.59,"213,740",6.29,5.05,
12,POSCO,"282,500","4,500",-1.57%,"5,000","246,303","87,187",53.14,"47,899",3.72,13.97,
13,셀트리온,"177,500","3,000",-1.66%,"1,000","244,871","137,956",20.21,"157,237",43.39,15.81,
14,카카오뱅크,"50,100",300,+0.60%,"5,000","238,055","475,159",16.23,"330,177",162.14,5.08,
15,KB금융,"56,700",900,+1.61%,"5,000","233,804","412,352",72.28,"374,523",5.42,8.53,
16,삼성물산,"114,000",500,-0.44%,100,"213,051","186,887",15.94,"32,465",13.14,5.40,
17,LG전자,"123,000","1,000",+0.82%,"5,000","201,287","163,648",28.37,"71,032",17.75,13.23,
18,신한지주,"37,850",200,+0.53%,"5,000","195,533","516,600",62.08,"209,024",5.02,8.20,
19,현대모비스,"205,500",0,0.00%,"5,000","194,348","94,573",34.26,"44,387",8.28,6.87,
20,SK이노베이션,"195,500",0,0.00%,"5,000","180,770","92,466",23.17,"95,438",60.15,1.91,
21,카카오페이,"135,000","1,000",-0.74%,500,"178,428","132,169",42.53,"27,218",-671.64,-17.97,
22,SK,"237,000",500,-0.21%,200,"175,734","74,149",21.53,"15,437",27.70,1.11,
23,HMM,"33,850",650,-1.88%,"5,000","165,540","489,039",12.44,"1,552,600",4.26,8.93,
24,한국전력,"24,500",50,-0.20%,"5,000","157,281","641,964",14.85,"280,112",-14.44,2.91,
25,하나금융지주,"47,150",750,+1.62%,"5,000","141,564","300,242",70.93,"277,152",4.40,8.96,
26,두산중공업,"23,000",350,-1.50%,"5,000","139,180","605,128",8.32,"3,585,161",69.28,-37.20,
27,크래프톤,"280,000","1,000",-0.36%,100,"137,402","49,072",29.61,"16,687",21.95,61.86,
28,LG생활건강,"845,000","4,000",+0.48%,"5,000","131,974","15,618",41.19,"14,296",17.73,16.65,
29,SK텔레콤,"58,500",800,-1.35%,100,"128,017","218,833",45.64,"122,166",8.55,13.63,
30,삼성생명,"60,100",100,+0.17%,500,"120,200","200,000",12.62,"17,775",7.68,3.53,
31,하이브,"282,500","2,500",-0.88%,500,"116,823","41,353",15.11,"32,235",100.50,12.52,
32,삼성전기,"151,500",500,-0.33%,"5,000","113,161","74,694",29.17,"54,942",13.17,14.29,
33,LG,"71,100","1,300",-1.80%,"5,000","111,841","157,301",36.38,"51,019",4.69,7.50,
34,KT&G,"81,000",300,-0.37%,"5,000","111,207","137,292",36.86,"22,389",9.34,13.22,
35,고려아연,"586,000","4,000",-0.68%,"5,000","110,578","18,870",19.09,"10,712",14.65,8.37,
36,SK바이오사이언스,"142,500","4,500",-3.06%,500,"109,012","76,500",5.21,"107,351",54.87,13.25,
37,삼성에스디에스,"137,000","2,000",-1.44%,500,"106,008","77,378",11.41,"9,005",17.34,8.80,
38,우리금융지주,"14,400",150,+1.05%,"5,000","104,841","728,061",34.30,"377,853",4.40,5.87,
39,대한항공,"29,200",500,+1.74%,"5,000","101,564","347,821",12.11,"457,123",13.72,-7.22,
40,현대중공업,"112,500","1,000",-0.88%,"5,000","99,870","88,773",2.69,"20,879",-12.28,-7.86,
41,엔씨소프트,"438,500","6,000",-1.35%,500,"96,268","21,954",42.81,"30,124",27.07,20.83,
42,S-Oil,"83,400","2,100",-2.46%,"2,500","93,894","112,583",78.21,"86,012",8.03,-13.07,
43,넷마블,"107,000","1,000",+0.94%,100,"91,970","85,954",22.86,"15,823",39.57,6.35,
44,아모레퍼시픽,"153,500",500,-0.32%,500,"89,786","58,493",29.38,"98,881",59.20,0.78,
45,삼성화재,"185,000",500,+0.27%,500,"87,643","47,375",48.52,"13,872",8.00,4.96,
46,KT,"32,950",150,+0.46%,"5,000","86,036","261,112",39.93,"114,168",6.34,9.36,
47,LG이노텍,"343,000","3,500",+1.03%,"5,000","81,178","23,667",23.37,"81,099",9.14,30.94,
48,기업은행,"10,500",50,-0.47%,"5,000","78,152","744,301",14.07,"413,966",3.89,6.44,
49,SK아이이테크놀로지,"108,000",500,-0.46%,"1,000","77,001","71,298",9.67,"85,144",77.53,5.57,
50,포스코케미칼,"98,300",600,-0.61%,500,"76,146","77,463",6.14,"56,665",55.76,7.92,
